b'RCS\xc2\xa0#',b'Sort1',b'Sort2',b'Doc.',b'Subject/Motion',b'Date',b'Vote',b'Aye',b'No',b'Not\xc2\xa0Voting',b'Exc.\xc2\xa0Abs.',b'Exc.\xc2\xa0Vote',b'Total\xc2\xa0Votes',b'Result'
b'3',b'H',b'2',b'HJR 2',b'      Second Reading',b'1/14/2015 12:13 PM',b'Aye',b'PASS',b'49',b'0',b'0',b'1',b'0',b'49'
b'4',b'H',b'17',b'HR 17',b'Amend House Temp Rules.      R2 For Adoption',b'1/28/2015 12:29 PM',b'Aye',b'PASS',b'116',b'0',b'0',b'3',b'0',b'116'
b'6',b'H',b'3',b'HB 3',b'Eminent Domain.      Second Reading',b'2/5/2015 11:19 AM',b'Aye',b'PASS',b'111',b'4',b'1',b'4',b'0',b'115'
b'7',b'H',b'3',b'HB 3',b'Eminent Domain.      A1 Pittman   Third Reading',b'2/10/2015 3:39 PM',b'No',b'FAIL',b'10',b'108',b'0',b'2',b'0',b'118'
b'8',b'H',b'3',b'HB 3',b'Eminent Domain.      Third Reading',b'2/10/2015 3:40 PM',b'Aye',b'PASS',b'113',b'5',b'0',b'2',b'0',b'118'
b'9',b'H',b'37',b'HR 37',b'House UNC Board of Governors Election.      R2 For Adoption',b'2/11/2015 3:16 PM',b'Aye',b'PASS',b'113',b'0',b'2',b'3',b'2',b'113'
b'20',b'H',b'117',b'HB 117',b'NC Competes Act.      A1 Waddell   Second Reading',b'3/4/2015 2:27 PM',b'No',b'FAIL',b'55',b'62',b'2',b'1',b'0',b'117'
b'21',b'H',b'117',b'HB 117',b'NC Competes Act.      A2 Tine   Second Reading',b'3/4/2015 2:39 PM',b'Aye',b'PASS',b'108',b'11',b'0',b'1',b'0',b'119'
b'22',b'H',b'117',b'HB 117',b'NC Competes Act.      Second Reading',b'3/4/2015 3:28 PM',b'Aye',b'PASS',b'87',b'32',b'0',b'1',b'0',b'119'
b'26',b'H',b'117',b'HB 117',b'NC Competes Act.      Third Reading',b'3/5/2015 12:34 PM',b'Aye',b'PASS',b'88',b'29',b'1',b'2',b'0',b'117'
b'29',b'H',b'41',b'HB 41',b'Revenue Laws Technical Changes.      Second Reading',b'3/9/2015 7:22 PM',b'Aye',b'PASS',b'114',b'0',b'1',b'5',b'0',b'114'
b'30',b'H',b'31',b'HB 31',b'0.00 Alcohol Restriction-All DWI.      Second Reading',b'3/9/2015 7:31 PM',b'Aye',b'PASS',b'110',b'4',b'1',b'5',b'0',b'114'
b'31',b'H',b'32',b'HB 32',b'Amend Habitual DWI.      Second Reading',b'3/9/2015 7:39 PM',b'Aye',b'PASS',b'112',b'2',b'1',b'5',b'0',b'114'
b'32',b'H',b'59',b'HB 59',b'Clarify Report Admissibility.      Second Reading',b'3/9/2015 7:57 PM',b'Aye',b'PASS',b'110',b'4',b'1',b'5',b'0',b'114'
b'33',b'H',b'43',b'HB 43',b'Winston-Salem/Parking Meters.      Second Reading',b'3/10/2015 2:43 PM',b'Aye',b'PASS',b'116',b'0',b'0',b'4',b'0',b'116'
b'34',b'H',b'58',b'HB 58',b'Alamance County Sheriff/Food Purchases.      A1 Floyd   Second Reading',b'3/10/2015 2:51 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'35',b'H',b'41',b'HB 41',b'Revenue Laws Technical Changes.      Third Reading',b'3/10/2015 2:53 PM',b'Aye',b'PASS',b'117',b'0',b'0',b'3',b'0',b'117'
b'36',b'H',b'55',b'HB 55',b'Public Exhibit of Fireworks/NCSU.      Second Reading',b'3/10/2015 2:55 PM',b'Aye',b'PASS',b'117',b'0',b'0',b'3',b'0',b'117'
b'37',b'H',b'71',b'HB 71',b'Clarify County Commissioners Oath Filing.      Second Reading',b'3/10/2015 2:57 PM',b'Aye',b'PASS',b'117',b'0',b'0',b'3',b'0',b'117'
b'38',b'H',b'58',b'HB 58',b'Alamance County Sheriff/Food Purchases.      A2 Floyd M4 Previous Question  Second Reading',b'3/10/2015 3:27 PM',b'Aye',b'PASS',b'96',b'18',b'3',b'3',b'0',b'114'
b'38',b'H',b'157',b'HB 157',b'Amend Environmental Laws.      Second Reading',b'3/12/2015 9:22 AM',b'Aye',b'PASS',b'37',b'11',b'1',b'1',b'0',b'48'
b'39',b'H',b'58',b'HB 58',b'Alamance County Sheriff/Food Purchases.      A2 Floyd   Second Reading',b'3/10/2015 3:28 PM',b'Aye',b'PASS',b'111',b'5',b'1',b'3',b'0',b'116'
b'40',b'H',b'58',b'HB 58',b'Alamance County Sheriff/Food Purchases.      A3 Glazier   Second Reading',b'3/10/2015 3:42 PM',b'Aye',b'PASS',b'113',b'0',b'4',b'3',b'0',b'113'
b'41',b'H',b'58',b'HB 58',b'Alamance County Sheriff/Food Purchases.      Second Reading',b'3/10/2015 3:47 PM',b'Aye',b'PASS',b'94',b'21',b'2',b'3',b'0',b'115'
b'42',b'H',b'157',b'HB 157',b'Amend Environmental Laws.      Motion 12 - Add to Cal',b'3/11/2015 10:32 AM',b'Aye',b'PASS',b'73',b'42',b'1',b'4',b'0',b'115'
b'42',b'H',b'157',b'HB 157',b'Amend Environmental Laws.      Third Reading',b'3/16/2015 7:11 PM',b'Aye',b'PASS',b'39',b'10',b'0',b'1',b'0',b'49'
b'43',b'H',b'102',b'HB 102',b'Utility Vehicles/Law Enforcement.      A1 Davis   Second Reading',b'3/11/2015 11:03 AM',b'Aye',b'PASS',b'115',b'0',b'2',b'3',b'0',b'115'
b'44',b'H',b'102',b'HB 102',b'Utility Vehicles/Law Enforcement.      Second Reading',b'3/11/2015 11:04 AM',b'Aye',b'PASS',b'115',b'0',b'2',b'3',b'0',b'115'
b'45',b'H',b'79',b'HB 79',b'Contempt for 50C/Scope of Stay for Appeals.      Second Reading',b'3/11/2015 11:08 AM',b'Aye',b'PASS',b'114',b'0',b'3',b'3',b'0',b'114'
b'46',b'H',b'134',b'HB 134',b'Soliciting Prostitution/Immunity for Minors.      Second Reading',b'3/11/2015 11:12 AM',b'Aye',b'PASS',b'115',b'0',b'2',b'3',b'0',b'115'
b'47',b'H',b'157',b'HB 157',b'Amend Environmental Laws.      A1 Reives   Second Reading',b'3/11/2015 11:39 AM',b'No',b'FAIL',b'46',b'70',b'1',b'3',b'0',b'116'
b'48',b'H',b'157',b'HB 157',b'Amend Environmental Laws.      Second Reading',b'3/11/2015 11:40 AM',b'Aye',b'PASS',b'76',b'40',b'1',b'3',b'0',b'116'
b'48',b'H',b'41',b'HB 41',b'IRC Update/Rev Laws Tech Changes.      Amendment 1 Motion 1 To Table',b'3/19/2015 11:17 AM',b'Aye',b'PASS',b'31',b'16',b'1',b'2',b'0',b'47'
b'49',b'H',b'41',b'HB 41',b'IRC Update/Rev Laws Tech Changes.      Second Reading',b'3/19/2015 11:18 AM',b'Aye',b'PASS',b'33',b'14',b'1',b'2',b'0',b'47'
b'49',b'H',b'58',b'HB 58',"b'Certain Counties Sheriff/Food Purchases.      A4 Hall, L.   Third Reading'",b'3/16/2015 7:27 PM',b'No',b'FAIL',b'37',b'73',b'0',b'10',b'0',b'110'
b'50',b'H',b'58',b'HB 58',b'Certain Counties Sheriff/Food Purchases.      Third Reading',b'3/16/2015 7:30 PM',b'Aye',b'PASS',b'71',b'39',b'0',b'10',b'0',b'110'
b'50',b'H',b'41',b'HB 41',b'IRC Update/Rev Laws Tech Changes.      Third Reading',b'3/23/2015 7:11 PM',b'Aye',b'PASS',b'32',b'16',b'0',b'2',b'0',b'48'
b'51',b'H',b'102',b'HB 102',b'Utility Vehicles/Law Enforcement.      Third Reading',b'3/16/2015 7:31 PM',b'Aye',b'PASS',b'110',b'0',b'0',b'10',b'0',b'110'
b'52',b'H',b'7',b'HB 7',b'Amend Firearm Restoration Law.      Second Reading',b'3/16/2015 7:33 PM',b'Aye',b'PASS',b'105',b'4',b'1',b'10',b'0',b'109'
b'53',b'H',b'73',b'HB 73',b'Cary Annexation.      Second Reading',b'3/17/2015 2:16 PM',b'Aye',b'PASS',b'110',b'1',b'3',b'5',b'1',b'111'
b'54',b'H',b'5',b'HB 5',b'Military Veterans Special Plate.      A1 Torbett   Second Reading',b'3/17/2015 2:18 PM',b'Aye',b'PASS',b'114',b'0',b'1',b'5',b'0',b'114'
b'55',b'H',b'5',b'HB 5',b'Military Veterans Special Plate.      Second Reading',b'3/17/2015 2:20 PM',b'Aye',b'PASS',b'115',b'0',b'0',b'5',b'0',b'115'
b'56',b'H',b'113',b'HB 113',b'Protect Our Students Act.      Second Reading',b'3/17/2015 2:26 PM',b'Aye',b'PASS',b'115',b'0',b'0',b'5',b'0',b'115'
b'57',b'H',b'73',b'HB 73',b'Cary Annexation.      Third Reading',b'3/18/2015 3:27 PM',b'Aye',b'PASS',b'115',b'2',b'0',b'2',b'1',b'117'
b'58',b'H',b'13',b'HB 13',b'Amend School Health Assessment Requirement.      A1 Glazier   Second Reading',b'3/18/2015 3:35 PM',b'Aye',b'PASS',b'118',b'0',b'0',b'2',b'0',b'118'
b'59',b'H',b'13',b'HB 13',b'Amend School Health Assessment Requirement.      A2 Cunningham   Second Reading',b'3/18/2015 3:39 PM',b'Aye',b'PASS',b'113',b'4',b'1',b'2',b'0',b'117'
b'60',b'H',b'13',b'HB 13',b'Amend School Health Assessment Requirement.      Second Reading',b'3/18/2015 3:50 PM',b'Aye',b'PASS',b'94',b'24',b'0',b'2',b'0',b'118'
b'61',b'H',b'18',b'HB 18',b'Planning Year for Cooperative Innovative High Schools.      Second Reading',b'3/18/2015 3:53 PM',b'Aye',b'PASS',b'118',b'0',b'0',b'2',b'0',b'118'
b'62',b'H',b'35',b'HB 35',b'Education Innovation Task Force.      Second Reading',b'3/18/2015 3:55 PM',b'Aye',b'PASS',b'115',b'1',b'2',b'2',b'0',b'116'
b'63',b'H',b'138',b'HB 138',b'Arts Education Requirement.      Second Reading',b'3/18/2015 4:27 PM',b'Aye',b'PASS',b'96',b'21',b'1',b'2',b'0',b'117'
b'64',b'H',b'173',b'HB 173',b'Omnibus Criminal Law Bill.      A1 Stam   Second Reading',b'3/18/2015 4:50 PM',b'N/V',b'PASS',b'115',b'0',b'3',b'2',b'0',b'115'
b'65',b'H',b'173',b'HB 173',b'Omnibus Criminal Law Bill.      Second Reading',b'3/18/2015 4:56 PM',b'Aye',b'PASS',b'116',b'1',b'1',b'2',b'0',b'117'
b'67',b'H',b'130',b'HB 130',b'Davie County/Food for Detention Facilities.      Second Reading',b'3/23/2015 7:34 PM',b'Aye',b'PASS',b'115',b'2',b'0',b'3',b'0',b'117'
b'68',b'H',b'143',b'HB 143',b'Charlotte/Civil Service Board.      Second Reading',b'3/24/2015 2:16 PM',b'Excused Absence',b'PASS',b'113',b'1',b'1',b'5',b'0',b'114'
b'69',b'H',b'13',b'HB 13',b'Amend School Health Assessment Requirement.      A3 Glazier   Third Reading',b'3/24/2015 2:19 PM',b'Excused Absence',b'PASS',b'115',b'0',b'0',b'5',b'0',b'115'
b'70',b'H',b'13',b'HB 13',b'Amend School Health Assessment Requirement.      Third Reading',b'3/24/2015 2:22 PM',b'Excused Absence',b'PASS',b'93',b'22',b'0',b'5',b'0',b'115'
b'71',b'H',b'173',b'HB 173',b'Omnibus Criminal Law Bill.      A2 Glazier   Third Reading',b'3/24/2015 2:25 PM',b'Excused Absence',b'PASS',b'114',b'0',b'1',b'5',b'0',b'114'
b'72',b'H',b'173',b'HB 173',b'Omnibus Criminal Law Bill.      Third Reading',b'3/24/2015 2:26 PM',b'Excused Absence',b'PASS',b'112',b'2',b'0',b'6',b'0',b'114'
b'73',b'H',b'29',b'HB 29',b'Technical Changes to Courses of Study Statute.      Second Reading',b'3/24/2015 2:31 PM',b'Excused Absence',b'PASS',b'110',b'5',b'0',b'5',b'0',b'115'
b'74',b'H',b'82',b'HB 82',b'Execution/Nonsecure Custody Order/Child Abuse.      Second Reading',b'3/24/2015 2:34 PM',b'Excused Absence',b'PASS',b'114',b'0',b'1',b'5',b'0',b'114'
b'75',b'H',b'201',b'HB 201',b'Zoning Changes/Citizen Input.      A1 Avila   Second Reading',b'3/24/2015 4:01 PM',b'Excused Absence',b'FAIL',b'48',b'63',b'2',b'7',b'0',b'111'
b'76',b'H',b'201',b'HB 201',b'Zoning Changes/Citizen Input.      Second Reading',b'3/24/2015 4:20 PM',b'Excused Absence',b'PASS',b'81',b'31',b'1',b'7',b'0',b'112'
b'77',b'H',b'211',b'HB 211',"b'Expand Use of Toxicology Funds.      A1 Hall, D.   Second Reading'",b'3/24/2015 4:27 PM',b'Excused Absence',b'PASS',b'111',b'0',b'1',b'8',b'0',b'111'
b'78',b'H',b'211',b'HB 211',b'Expand Use of Toxicology Funds.      Second Reading',b'3/24/2015 4:27 PM',b'Excused Absence',b'PASS',b'112',b'0',b'0',b'8',b'0',b'112'
b'79',b'H',b'201',b'HB 201',b'Zoning Changes/Citizen Input.      A2 Meyer   Third Reading',b'3/25/2015 3:13 PM',b'Aye',b'PASS',b'115',b'1',b'1',b'3',b'0',b'116'
b'79',b'H',b'41',b'HB 41',b'IRC Update/Rev Laws Tech Changes.      Conference Rpt          \nMotion 8 To Adopt',b'4/2/2015 11:12 AM',b'Aye',b'PASS',b'44',b'0',b'0',b'6',b'0',b'44'
b'80',b'H',b'201',b'HB 201',b'Zoning Changes/Citizen Input.      A3 Avila   Third Reading',b'3/25/2015 3:15 PM',b'Aye',b'PASS',b'113',b'0',b'4',b'3',b'0',b'113'
b'81',b'H',b'201',b'HB 201',b'Zoning Changes/Citizen Input.      Third Reading',b'3/25/2015 3:16 PM',b'Aye',b'PASS',b'89',b'28',b'0',b'3',b'0',b'117'
b'82',b'H',b'16',b'HB 16',b'Repeal Outdated Reports.-AB      Second Reading',b'3/25/2015 3:18 PM',b'Aye',b'PASS',b'115',b'0',b'2',b'3',b'0',b'115'
b'83',b'H',b'50',b'HB 50',b'Amend Mandatory Retirement Age/Judges and Magistrates.      Second Reading',b'3/25/2015 3:21 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'84',b'H',b'151',b'HB 151',b'Property Insurance Rate-Making Reform.      Second Reading',b'3/25/2015 3:26 PM',b'Aye',b'PASS',b'115',b'0',b'2',b'3',b'0',b'115'
b'85',b'H',b'216',b'HB 216',b'Great Leaders for Great Schools/Study.      Second Reading',b'3/25/2015 3:30 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'86',b'H',b'242',b'HB 242',b'White Collar Investigation.      A1 Glazier   Second Reading',b'3/25/2015 3:37 PM',b'Aye',b'PASS',b'115',b'0',b'1',b'4',b'0',b'115'
b'87',b'H',b'242',b'HB 242',b'White Collar Investigation.      Second Reading',b'3/25/2015 3:38 PM',b'Aye',b'PASS',b'115',b'0',b'0',b'5',b'0',b'115'
b'88',b'H',b'294',b'HB 294',b'Prohibit Cell Phone/Delinquent Juvenile.-AB      Second Reading',b'3/25/2015 3:39 PM',b'Aye',b'PASS',b'115',b'0',b'0',b'5',b'0',b'115'
b'89',b'H',b'295',b'HB 295',b'Juvenile Media Release.-AB      Second Reading',b'3/25/2015 3:41 PM',b'Aye',b'PASS',b'115',b'0',b'0',b'5',b'0',b'115'
b'90',b'H',b'152',b'HB 152',b'New Historic Preservation Tax Credit.      Second Reading',b'3/25/2015 4:36 PM',b'Aye',b'PASS',b'96',b'18',b'1',b'5',b'0',b'114'
b'91',b'H',b'242',b'HB 242',b'White Collar Investigation.      Third Reading',b'3/26/2015 11:18 AM',b'Aye',b'PASS',b'112',b'0',b'2',b'6',b'0',b'112'
b'92',b'H',b'152',b'HB 152',b'New Historic Preservation Tax Credit.      A2 Speciale M4 Previous Question  Third Reading',b'3/26/2015 11:37 AM',b'Aye',b'PASS',b'76',b'37',b'1',b'6',b'0',b'113'
b'93',b'H',b'152',b'HB 152',b'New Historic Preservation Tax Credit.      A2 Speciale   Third Reading',b'3/26/2015 11:38 AM',b'No',b'FAIL',b'32',b'81',b'1',b'6',b'0',b'113'
b'94',b'H',b'152',b'HB 152',b'New Historic Preservation Tax Credit.      A3 Ford   Third Reading',b'3/26/2015 11:49 AM',b'No',b'FAIL',b'29',b'84',b'1',b'6',b'0',b'113'
b'95',b'H',b'152',b'HB 152',b'New Historic Preservation Tax Credit.      A4 Blackwell   Third Reading',b'3/26/2015 11:53 AM',b'No',b'FAIL',b'25',b'87',b'2',b'6',b'0',b'112'
b'96',b'H',b'152',b'HB 152',b'New Historic Preservation Tax Credit.      Third Reading',b'3/26/2015 11:54 AM',b'Aye',b'PASS',b'98',b'15',b'1',b'6',b'0',b'113'
b'97',b'H',b'281',b'HB 281',b'Records to Medical Examiner.      Second Reading',b'3/26/2015 1:24 PM',b'Aye',b'PASS',b'112',b'0',b'2',b'6',b'0',b'112'
b'98',b'H',b'6',b'HB 6',b'Autocycle Definition and Regulation.      Second Reading',b'3/26/2015 1:33 PM',b'Aye',b'PASS',b'113',b'0',b'1',b'6',b'0',b'113'
b'99',b'H',b'286',b'HB 286',b'Dental Hygienists/Intraoral Local Anesthetics.      Second Reading',b'3/26/2015 1:35 PM',b'Aye',b'PASS',b'113',b'0',b'0',b'7',b'0',b'113'
b'101',b'H',b'229',b'HB 229',b'Modify Religious Property Exemption.      Second Reading',b'3/26/2015 1:39 PM',b'Aye',b'PASS',b'114',b'0',b'0',b'6',b'0',b'114'
b'102',b'H',b'140',b'HB 140',b'Lineman Appreciation Day in NC.      Second Reading',b'4/15/2015 2:31 PM',b'Aye',b'PASS',b'50',b'0',b'0',b'0',b'0',b'50'
b'104',b'H',b'199',b'HB 199',b'Raleigh/Donate Service Animals to Officers.      Second Reading',b'3/30/2015 7:23 PM',b'Aye',b'PASS',b'117',b'0',b'1',b'2',b'0',b'117'
b'104',b'H',b'364',b'HB 364',b'Clarify Laws on Exec. Orders and Appointments.      Second Reading',b'4/16/2015 12:21 PM',b'Aye',b'PASS',b'46',b'0',b'0',b'4',b'0',b'46'
b'105',b'H',b'204',b'HB 204',b'Caswell Beach/Quick Take Eminent Domain.      Second Reading',b'3/30/2015 7:23 PM',b'Aye',b'PASS',b'117',b'0',b'1',b'2',b'0',b'117'
b'106',b'H',b'243',b'HB 243',b'Local Modify Economic Development Commissions.      Second Reading',b'3/30/2015 7:23 PM',b'Aye',b'PASS',b'117',b'0',b'1',b'2',b'0',b'117'
b'108',b'H',b'263',b'HB 263',b'City of Trinity Terms of Election.      A1 Luebke   Second Reading',b'3/30/2015 7:47 PM',b'No',b'FAIL',b'50',b'69',b'0',b'1',b'0',b'119'
b'109',b'H',b'263',b'HB 263',b'City of Trinity Terms of Election.      Second Reading',b'3/30/2015 7:52 PM',b'Aye',b'PASS',b'77',b'42',b'0',b'1',b'0',b'119'
b'110',b'H',b'156',b'HB 156',b'Legal Notices/Require Internet Publication.      Second Reading',b'3/30/2015 7:57 PM',b'Aye',b'PASS',b'115',b'4',b'0',b'1',b'0',b'119'
b'111',b'H',b'244',b'HB 244',b'Community Corrections/Interstate Compact/Fund.-AB      Second Reading',b'3/30/2015 8:01 PM',b'Aye',b'PASS',b'119',b'0',b'0',b'1',b'0',b'119'
b'112',b'H',b'293',b'HB 293',b'Adoption Law Changes.      Second Reading',b'3/30/2015 8:05 PM',b'Aye',b'PASS',b'118',b'1',b'0',b'1',b'0',b'119'
b'113',b'H',b'297',b'HB 297',b'DHHS Child Support Recommendations.-AB      Second Reading',b'3/30/2015 8:07 PM',b'Aye',b'PASS',b'119',b'0',b'0',b'1',b'0',b'119'
b'115',b'H',b'70',b'HB 70',"b""Charlotte Firefighters' Retirement.      A1 Bishop   Second Reading""",b'3/31/2015 3:29 PM',b'Aye',b'PASS',b'118',b'0',b'0',b'2',b'0',b'118'
b'116',b'H',b'70',b'HB 70',"b""Charlotte Firefighters' Retirement.      Second Reading""",b'3/31/2015 3:30 PM',b'Aye',b'PASS',b'118',b'0',b'0',b'2',b'0',b'118'
b'117',b'H',b'110',b'HB 110',b'Cherokee/Rutherford Boards of Education Elections.      Second Reading',b'3/31/2015 3:32 PM',b'Aye',b'PASS',b'85',b'33',b'0',b'2',b'0',b'118'
b'118',b'H',b'111',b'HB 111',b'Stanly County Board of Education Recall.      A1 Burr   Second Reading',b'3/31/2015 3:37 PM',b'Aye',b'PASS',b'81',b'36',b'1',b'2',b'0',b'117'
b'119',b'H',b'111',b'HB 111',b'Stanly County Board of Education Recall.      Second Reading',b'3/31/2015 3:46 PM',b'Aye',b'PASS',b'71',b'43',b'3',b'3',b'0',b'114'
b'120',b'H',b'112',b'HB 112',b'Stanly County Board of Education Election Method.      M4 Previous Question  Second Reading',b'3/31/2015 3:57 PM',b'Aye',b'PASS',b'76',b'41',b'0',b'3',b'0',b'117'
b'121',b'H',b'112',b'HB 112',b'Stanly County Board of Education Election Method.      Second Reading',b'3/31/2015 3:57 PM',b'Aye',b'PASS',b'75',b'42',b'0',b'3',b'0',b'117'
b'122',b'H',b'189',b'HB 189',b'Rockingham County School Board.      M4 Previous Question  Second Reading',b'3/31/2015 4:08 PM',b'Aye',b'PASS',b'69',b'41',b'7',b'3',b'0',b'110'
b'123',b'H',b'189',b'HB 189',b'Rockingham County School Board.      Second Reading',b'3/31/2015 4:10 PM',b'Aye',b'PASS',b'76',b'38',b'3',b'3',b'0',b'114'
b'124',b'H',b'279',b'HB 279',b'Wake County Local Board of Equalization/Review.      Second Reading',b'3/31/2015 4:14 PM',b'Aye',b'PASS',b'114',b'0',b'3',b'3',b'0',b'114'
b'125',b'H',b'39',b'HB 39',b'Labor/Up Amusement Device Penalties.      A1 Davis   Second Reading',b'3/31/2015 4:22 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'126',b'H',b'39',b'HB 39',b'Labor/Up Amusement Device Penalties.      Second Reading',b'3/31/2015 4:25 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'127',b'H',b'106',b'HB 106',b'Amend Banking Commission Membership.      Second Reading',b'3/31/2015 4:27 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'128',b'H',b'388',b'HB 388',b'Dare County Local Option Sales Tax.      A1 Tine   Second Reading',b'3/31/2015 4:29 PM',b'Aye',b'PASS',b'114',b'1',b'2',b'3',b'0',b'115'
b'129',b'H',b'388',b'HB 388',b'Dare County Local Option Sales Tax.      Second Reading',b'3/31/2015 4:30 PM',b'Aye',b'PASS',b'113',b'3',b'1',b'3',b'0',b'116'
b'130',b'H',b'358',b'HB 358',b'School Performance Grade Scale.      Second Reading',b'3/31/2015 4:31 PM',b'Aye',b'PASS',b'115',b'1',b'1',b'3',b'0',b'116'
b'131',b'H',b'274',b'HB 274',b'Retirement Technical Corrections Act of 2015.-AB      Second Reading',b'3/31/2015 4:33 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'133',b'H',b'232',b'HB 232',b'Update Bicycle Safety Laws/Study.      Second Reading',b'3/31/2015 4:53 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'134',b'H',b'388',b'HB 388',b'Dare County Local Option Sales Tax.      Third Reading',b'4/1/2015 2:27 PM',b'Aye',b'PASS',b'114',b'3',b'1',b'2',b'0',b'117'
b'135',b'H',b'188',b'HB 188',b'Trustee Appointments/Isothermal Community College.      Second Reading',b'4/1/2015 2:32 PM',b'Aye',b'PASS',b'72',b'43',b'3',b'2',b'0',b'115'
b'137',b'H',b'140',b'HB 140',b'Lineman Appreciation Day in NC.      Second Reading',b'4/1/2015 2:38 PM',b'Aye',b'PASS',b'118',b'0',b'0',b'2',b'0',b'118'
b'138',b'H',b'41',b'HB 41',b'IRC Update/Rev Laws Tech Changes.      Motion 12 - M. Add to Cal.',b'4/1/2015 2:40 PM',b'Aye',b'PASS',b'117',b'1',b'0',b'2',b'0',b'118'
b'139',b'H',b'41',b'HB 41',b'IRC Update/Rev Laws Tech Changes.      M11 Not Concur',b'4/1/2015 2:42 PM',b'Aye',b'PASS',b'118',b'0',b'0',b'2',b'0',b'118'
b'140',b'H',b'185',b'HB 185',b'Repeal Department of Cultural Resources Obsolete Commissions and Language.      Second Reading',b'4/1/2015 2:44 PM',b'Aye',b'PASS',b'118',b'0',b'0',b'2',b'0',b'118'
b'141',b'H',b'146',b'HB 146',b'Amend Advance Health Care Directives Laws.      A1 Stam   Second Reading',b'4/1/2015 3:11 PM',b'Aye',b'PASS',b'115',b'2',b'1',b'2',b'0',b'117'
b'142',b'H',b'146',b'HB 146',b'Amend Advance Health Care Directives Laws.      Second Reading',b'4/1/2015 3:11 PM',b'Aye',b'FAIL',b'49',b'68',b'1',b'2',b'0',b'117'
b'143',b'H',b'187',b'HB 187',b'Stalking by GPS/Criminal Offense.      A1 Glazier   Second Reading',b'4/1/2015 3:15 PM',b'Aye',b'PASS',b'117',b'0',b'1',b'2',b'0',b'117'
b'144',b'H',b'187',b'HB 187',b'Stalking by GPS/Criminal Offense.      A2 Stam   Second Reading',b'4/1/2015 3:19 PM',b'Aye',b'PASS',b'118',b'0',b'0',b'2',b'0',b'118'
b'145',b'H',b'284',b'HB 284',b'Civil Procedure/Civil Contempt/No Fines.      Second Reading',b'4/1/2015 3:29 PM',b'Aye',b'PASS',b'117',b'0',b'1',b'2',b'0',b'117'
b'146',b'H',b'291',b'HB 291',b'Hazardous Materials in Safe Deposit Box.-AB      A1 Stam   Second Reading',b'4/1/2015 3:33 PM',b'Aye',b'PASS',b'115',b'0',b'3',b'2',b'0',b'115'
